user_id,signup_date,country,acquisition_channel
182,2025-07-17,UK,Organic
183,2025-05-17,Germany,Google Ads
184,2025-11-14,Canada,Organic
185,2025-06-14,USA,Google Ads
186,2025-08-13,India,Referral
187,2025-11-03,UK,Facebook
188,2025-08-22,USA,Organic
189,2025-06-21,India,Facebook
190,2025-06-01,India,Organic
191,2025-11-11,India,Referral
192,2025-06-09,USA,Referral
193,2025-04-06,UK,Google Ads
194,2025-08-21,UK,Facebook
195,2025-06-29,India,Facebook
196,2025-04-23,USA,Facebook
197,2025-11-14,India,Facebook
198,2025-02-21,Germany,Facebook
199,2025-09-25,UK,Facebook
200,2025-10-22,Canada,Google Ads
201,2025-04-23,India,Facebook
202,2025-04-11,Germany,Google Ads
203,2025-04-23,UK,Google Ads
204,2025-03-22,USA,Organic
205,2025-07-06,UK,Google Ads
206,2025-04-23,USA,Facebook
207,2025-01-02,USA,Facebook
208,2025-05-10,India,Facebook
209,2025-08-08,India,Organic
210,2025-02-23,UK,Facebook
211,2025-12-09,Germany,Google Ads
212,2025-08-12,UK,Referral
213,2025-08-13,Canada,Referral
214,2025-05-06,USA,Google Ads
215,2025-05-10,USA,Facebook
216,2025-02-22,India,Facebook
217,2025-06-21,Germany,Google Ads
218,2025-08-06,India,Facebook
219,2025-06-09,Canada,Organic
220,2025-07-17,UK,Google Ads
221,2025-09-04,UK,Referral
222,2025-11-20,Germany,Facebook
223,2025-07-22,India,Facebook
224,2025-07-03,India,Organic
225,2025-05-03,Canada,Google Ads
226,2025-09-12,UK,Facebook
227,2025-10-21,India,Facebook
228,2025-10-07,Germany,Facebook
229,2025-11-21,UK,Facebook
230,2025-04-08,Canada,Google Ads
231,2025-07-17,Germany,Google Ads
232,2025-08-28,USA,Google Ads
233,2025-05-24,Canada,Referral
234,2025-04-07,Germany,Google Ads
235,2025-07-20,India,Google Ads
236,2025-05-04,USA,Referral
237,2025-07-06,Canada,Organic
238,2025-11-22,India,Facebook
239,2025-12-15,USA,Google Ads
240,2025-09-16,UK,Organic
241,2025-05-28,India,Google Ads
242,2025-09-09,Germany,Organic
243,2025-12-12,Canada,Referral
244,2025-05-27,USA,Facebook
245,2025-05-28,India,Google Ads
246,2025-12-18,UK,Organic
247,2025-07-18,Canada,Facebook
248,2025-11-04,Canada,Facebook
249,2025-05-08,India,Facebook
250,2025-02-08,UK,Organic
251,2025-12-04,USA,Organic
252,2025-12-26,India,Referral
253,2025-05-09,USA,Organic
254,2025-09-24,Canada,Google Ads
255,2025-05-31,USA,Organic
256,2025-10-25,UK,Google Ads
257,2025-04-09,Germany,Organic
258,2025-09-20,UK,Google Ads
259,2025-09-09,USA,Facebook
260,2025-05-24,India,Organic
261,2025-12-12,Canada,Google Ads
262,2025-04-22,Germany,Organic
263,2025-03-01,India,Organic
264,2025-01-02,India,Facebook
265,2025-10-31,UK,Facebook
266,2025-09-11,USA,Referral
267,2025-05-20,UK,Google Ads
268,2025-02-06,USA,Organic
269,2025-06-09,UK,Organic
270,2025-01-09,India,Referral
271,2025-08-21,Canada,Organic
272,2025-04-09,USA,Organic
273,2025-05-27,Germany,Referral
274,2025-10-31,Germany,Organic
275,2025-07-27,India,Organic
276,2025-05-11,UK,Google Ads
277,2025-06-01,UK,Facebook
278,2025-02-23,India,Organic
279,2025-04-30,Germany,Facebook
280,2025-06-10,Germany,Facebook
281,2025-04-26,UK,Google Ads
282,2025-03-16,USA,Organic
283,2025-04-23,Canada,Google Ads
284,2025-04-14,USA,Google Ads
285,2025-12-06,Germany,Facebook
286,2025-09-11,USA,Organic
287,2025-08-15,Canada,Facebook
288,2025-04-22,USA,Google Ads
289,2025-04-09,USA,Google Ads
290,2025-06-02,USA,Facebook
291,2025-12-15,USA,Organic
292,2025-12-04,India,Organic
293,2025-07-13,Germany,Google Ads
294,2025-11-06,Canada,Facebook
295,2025-06-12,Germany,Referral
296,2025-07-27,India,Google Ads
297,2025-06-18,India,Facebook
298,2025-06-10,India,Facebook
299,2025-03-09,India,Google Ads
300,2025-10-16,USA,Google Ads
301,2025-10-04,Germany,Organic
302,2025-10-31,UK,Google Ads
303,2025-05-15,Canada,Google Ads
304,2025-07-14,India,Facebook
305,2025-05-08,Germany,Google Ads
306,2025-02-02,India,Facebook
307,2025-06-25,India,Google Ads
308,2025-01-22,India,Facebook
309,2025-08-26,India,Organic
310,2025-06-07,India,Organic
311,2025-02-07,Canada,Facebook
312,2025-08-18,Germany,Google Ads
313,2025-12-31,India,Organic
314,2025-02-20,India,Google Ads
315,2025-09-21,India,Google Ads
316,2025-10-10,India,Organic
317,2025-01-27,USA,Referral
318,2025-08-14,USA,Facebook
319,2025-10-04,UK,Google Ads
320,2025-10-13,India,Referral
321,2025-04-07,UK,Google Ads
322,2025-10-11,Canada,Referral
323,2025-11-13,UK,Facebook
324,2025-10-31,Germany,Facebook
325,2025-05-27,USA,Facebook
326,2025-01-04,USA,Referral
327,2025-02-04,India,Referral
328,2025-07-11,India,Facebook
329,2025-02-18,Canada,Organic
330,2025-01-17,Canada,Organic
331,2025-06-21,Germany,Organic
332,2025-08-08,India,Organic
333,2025-06-07,India,Google Ads
334,2025-02-15,Canada,Facebook
335,2025-01-06,Canada,Referral
336,2025-04-09,Canada,Referral
337,2025-08-21,USA,Google Ads
338,2025-02-06,UK,Google Ads
339,2025-10-07,UK,Referral
340,2025-12-15,India,Facebook
341,2025-10-29,USA,Organic
342,2025-06-30,Canada,Google Ads
343,2025-04-05,India,Referral
344,2025-04-09,USA,Google Ads
345,2025-07-07,Germany,Google Ads
346,2025-04-26,USA,Google Ads
347,2025-07-10,India,Referral
348,2025-09-10,UK,Organic
349,2025-06-10,Canada,Organic
350,2025-09-13,Germany,Facebook
351,2025-11-19,USA,Referral
352,2025-05-08,India,Organic
353,2025-01-18,India,Organic
354,2025-10-08,Canada,Referral
355,2025-08-11,India,Facebook
356,2025-02-23,India,Organic
357,2025-02-27,Canada,Referral
358,2025-11-19,Germany,Organic
359,2025-12-26,UK,Organic
360,2025-06-23,UK,Google Ads
361,2025-10-07,USA,Organic
362,2025-04-24,Germany,Facebook
363,2025-10-15,USA,Google Ads
364,2025-12-08,UK,Referral
365,2025-05-31,Canada,Facebook
366,2025-05-07,India,Facebook
367,2025-06-04,UK,Organic
368,2025-09-30,Germany,Facebook
369,2025-04-14,UK,Google Ads
370,2025-10-26,Germany,Facebook
371,2025-09-03,Germany,Google Ads
372,2025-06-25,Germany,Google Ads
373,2025-02-08,USA,Google Ads
374,2025-06-19,Canada,Google Ads
375,2025-09-04,UK,Facebook
376,2025-01-26,Canada,Facebook
377,2025-12-21,India,Referral
378,2025-11-02,UK,Facebook
379,2025-01-13,Canada,Organic
380,2025-11-12,Canada,Facebook
381,2025-11-09,India,Organic
382,2025-02-05,Germany,Organic
383,2025-06-22,UK,Facebook
384,2025-01-20,UK,Google Ads
385,2025-11-17,India,Facebook
386,2025-09-21,Germany,Organic
387,2025-05-22,UK,Facebook
388,2025-05-23,UK,Referral
389,2025-04-02,UK,Google Ads
390,2025-12-20,Germany,Google Ads
391,2025-11-18,India,Organic
392,2025-10-15,UK,Referral
393,2025-08-03,Canada,Facebook
394,2025-12-08,Germany,Organic
395,2025-02-20,USA,Google Ads
396,2025-06-02,India,Organic
397,2025-07-05,Canada,Organic
398,2025-03-04,UK,Referral
399,2025-07-09,USA,Google Ads
400,2025-05-05,India,Facebook
401,2025-05-30,Germany,Organic
402,2025-11-10,USA,Google Ads
403,2025-02-27,USA,Organic
404,2025-12-08,Canada,Facebook
405,2025-11-01,India,Google Ads
406,2025-06-29,Canada,Organic
407,2025-06-19,Canada,Google Ads
408,2025-11-22,UK,Referral
409,2025-09-28,Germany,Organic
410,2025-02-23,USA,Organic
411,2025-04-11,India,Google Ads
412,2025-09-21,Germany,Referral
413,2025-02-22,Germany,Organic
414,2025-03-01,India,Google Ads
415,2025-04-18,Germany,Facebook
416,2025-01-05,UK,Google Ads
417,2025-04-13,Germany,Referral
418,2025-07-15,UK,Referral
419,2025-09-19,USA,Referral
420,2025-12-31,USA,Organic
421,2025-12-16,Canada,Facebook
422,2025-02-16,UK,Google Ads
423,2025-12-21,USA,Google Ads
424,2025-11-07,Germany,Google Ads
425,2025-11-04,India,Facebook
426,2025-05-24,India,Referral
427,2025-09-26,UK,Referral
428,2025-05-04,Canada,Google Ads
429,2025-04-16,Germany,Organic
430,2025-06-07,UK,Organic
431,2025-05-27,India,Facebook
432,2025-05-25,UK,Organic
433,2025-04-30,Germany,Facebook
434,2025-11-15,USA,Referral
435,2025-10-02,Germany,Organic
436,2025-04-02,USA,Organic
437,2025-02-27,USA,Google Ads
438,2025-12-12,USA,Google Ads
439,2025-08-17,UK,Facebook
440,2025-04-27,India,Organic
441,2025-11-14,UK,Referral
442,2025-10-06,India,Facebook
443,2025-05-07,Germany,Organic
444,2025-05-09,Canada,Facebook
445,2025-02-27,Germany,Google Ads
446,2025-05-02,UK,Organic
447,2025-01-01,UK,Organic
448,2025-08-27,India,Google Ads
449,2025-10-17,UK,Facebook
450,2025-04-06,USA,Facebook
451,2025-05-06,UK,Google Ads
452,2025-04-28,India,Referral
453,2025-02-17,India,Organic
454,2025-03-30,USA,Google Ads
455,2025-08-25,India,Google Ads
456,2025-09-29,Canada,Referral
457,2025-07-08,Germany,Organic
458,2025-07-11,UK,Organic
459,2025-03-10,Canada,Google Ads
460,2025-10-05,UK,Referral
461,2025-12-15,Canada,Facebook
462,2025-09-04,UK,Organic
463,2025-03-17,USA,Referral
464,2025-06-03,India,Google Ads
465,2025-05-24,India,Facebook
466,2025-03-27,USA,Google Ads
467,2025-07-04,Canada,Facebook
468,2025-10-12,Germany,Google Ads
469,2025-08-08,Canada,Referral
470,2025-03-10,India,Facebook
471,2025-02-16,Germany,Organic
472,2025-04-04,UK,Referral
473,2025-08-26,Germany,Referral
474,2025-07-23,Canada,Facebook
475,2025-08-06,USA,Facebook
476,2025-12-07,UK,Google Ads
477,2025-02-08,Canada,Google Ads
478,2025-04-10,UK,Organic
479,2025-10-16,Germany,Google Ads
480,2025-09-11,India,Facebook
481,2025-08-10,Canada,Google Ads
482,2025-12-23,USA,Organic
483,2025-01-23,Germany,Facebook
484,2025-09-07,Canada,Google Ads
485,2025-01-10,USA,Google Ads
486,2025-09-03,Canada,Organic
487,2025-11-21,Germany,Organic
488,2025-04-10,Canada,Facebook
489,2025-10-17,UK,Organic
490,2025-06-29,Germany,Google Ads
491,2025-08-11,Canada,Google Ads
492,2025-09-07,India,Google Ads
493,2025-05-27,Canada,Facebook
494,2025-04-06,UK,Organic
495,2025-09-14,USA,Google Ads
496,2025-11-21,USA,Organic
497,2025-01-04,USA,Facebook
498,2025-01-16,India,Referral
499,2025-10-07,UK,Organic
500,2025-12-02,Germany,Organic
501,2025-09-04,USA,Organic
502,2025-09-15,UK,Referral
503,2025-06-09,Canada,Referral
504,2025-12-06,India,Facebook
505,2025-06-01,UK,Facebook
506,2025-06-27,UK,Facebook
507,2025-06-12,Germany,Facebook
508,2025-02-02,UK,Facebook
509,2025-06-28,Germany,Google Ads
510,2025-04-11,India,Referral
511,2025-09-25,India,Facebook
512,2025-11-19,Canada,Organic
513,2025-03-06,Germany,Facebook
514,2025-06-17,Germany,Organic
515,2025-11-26,USA,Facebook
516,2025-02-12,USA,Organic
517,2025-02-13,Canada,Facebook
518,2025-10-12,India,Facebook
519,2025-01-12,USA,Referral
520,2025-04-05,UK,Google Ads
521,2025-10-29,India,Facebook
522,2025-09-10,UK,Google Ads
523,2025-08-30,Germany,Referral
524,2025-02-04,India,Google Ads
525,2025-08-03,Canada,Organic
526,2025-12-03,Germany,Google Ads
527,2025-03-31,Germany,Facebook
528,2025-09-21,UK,Referral
529,2025-04-03,Germany,Google Ads
530,2025-03-31,USA,Organic
531,2025-04-25,India,Google Ads
532,2025-04-15,USA,Facebook
533,2025-07-15,UK,Facebook
534,2025-11-10,UK,Organic
535,2025-04-24,India,Organic
536,2025-03-16,Germany,Organic
537,2025-08-05,Canada,Google Ads
538,2025-10-04,UK,Facebook
539,2025-09-06,India,Google Ads
540,2025-06-13,Canada,Organic
541,2025-12-23,Germany,Organic
542,2025-07-11,UK,Google Ads
543,2025-08-15,India,Google Ads
544,2025-06-26,India,Google Ads
545,2025-04-09,India,Referral
546,2025-02-05,UK,Organic
547,2025-04-06,Canada,Facebook
548,2025-06-01,India,Facebook
549,2025-05-31,Germany,Google Ads
550,2025-07-09,India,Organic
551,2025-08-12,Canada,Organic
552,2025-02-06,UK,Facebook
553,2025-09-25,India,Referral
554,2025-07-02,India,Facebook
555,2025-01-13,Germany,Google Ads
556,2025-10-06,Germany,Organic
557,2025-08-05,India,Facebook
558,2025-12-21,India,Referral
559,2025-12-27,Germany,Facebook
560,2025-10-13,Canada,Facebook
561,2025-09-30,USA,Organic
562,2025-03-03,USA,Facebook
563,2025-03-25,India,Facebook
564,2025-08-05,Germany,Referral
565,2025-12-08,UK,Facebook
566,2025-07-06,UK,Google Ads
567,2025-01-19,USA,Referral
568,2025-06-26,Canada,Google Ads
569,2025-04-10,USA,Google Ads
570,2025-08-21,India,Organic
571,2025-03-17,Canada,Google Ads
572,2025-09-22,UK,Referral
573,2025-10-11,Germany,Facebook
574,2025-07-25,Germany,Organic
575,2025-08-11,India,Google Ads
576,2025-02-21,USA,Google Ads
577,2025-12-05,India,Organic
578,2025-05-24,Germany,Facebook
579,2025-03-10,UK,Organic
580,2025-04-09,Germany,Google Ads
581,2025-01-25,Canada,Organic
582,2025-02-22,Germany,Google Ads
583,2025-05-31,Germany,Organic
584,2025-05-24,Canada,Organic
585,2025-02-26,USA,Google Ads
586,2025-02-08,Germany,Facebook
587,2025-04-19,India,Google Ads
588,2025-06-30,Germany,Facebook
589,2025-02-11,India,Organic
590,2025-07-05,Canada,Google Ads
591,2025-08-11,Germany,Referral
592,2025-05-02,Canada,Facebook
593,2025-05-13,Canada,Referral
594,2025-06-12,USA,Google Ads
595,2025-08-03,Germany,Referral
596,2025-08-09,India,Google Ads
597,2025-08-23,India,Facebook
598,2025-11-27,Germany,Referral
599,2025-05-26,USA,Google Ads
600,2025-08-27,USA,Google Ads
601,2025-03-17,USA,Organic
602,2025-01-09,India,Organic
603,2025-03-15,Canada,Facebook
604,2025-09-10,USA,Google Ads
605,2025-08-18,India,Organic
606,2025-01-07,India,Google Ads
607,2025-06-23,Canada,Referral
608,2025-05-21,Germany,Organic
609,2025-06-17,Germany,Organic
610,2025-06-19,USA,Google Ads
611,2025-10-10,USA,Referral
612,2025-05-02,Canada,Facebook
613,2025-07-13,USA,Referral
614,2025-01-05,Canada,Google Ads
615,2025-01-29,India,Organic
616,2025-06-14,USA,Organic
617,2025-12-05,India,Google Ads
618,2025-05-16,UK,Facebook
619,2025-12-31,Canada,Google Ads
620,2025-11-17,UK,Facebook
621,2025-12-08,USA,Facebook
622,2025-05-25,India,Facebook
623,2025-11-23,USA,Organic
624,2025-08-05,UK,Organic
625,2025-10-28,USA,Google Ads
626,2025-05-12,Germany,Organic
627,2025-10-19,UK,Referral
628,2025-03-11,USA,Facebook
629,2025-09-09,India,Google Ads
630,2025-10-02,USA,Facebook
631,2025-12-30,India,Organic
632,2025-07-01,Germany,Organic
633,2025-06-16,USA,Organic
634,2025-04-01,Germany,Google Ads
635,2025-07-21,UK,Organic
636,2025-12-12,India,Facebook
637,2025-01-19,UK,Google Ads
638,2025-02-08,India,Google Ads
639,2025-05-06,Germany,Facebook
640,2025-06-22,Canada,Organic
641,2025-05-21,USA,Organic
642,2025-08-30,Germany,Referral
643,2025-08-08,India,Google Ads
644,2025-05-06,India,Referral
645,2025-02-27,India,Organic
646,2025-05-28,India,Facebook
647,2025-11-13,USA,Referral
648,2025-12-27,UK,Organic
649,2025-01-01,Canada,Facebook
650,2025-12-14,USA,Referral
651,2025-07-09,India,Organic
652,2025-07-10,USA,Organic
653,2025-11-08,Germany,Referral
654,2025-04-27,India,Facebook
655,2025-05-14,Canada,Organic
656,2025-02-27,India,Organic
657,2025-02-13,Canada,Facebook
658,2025-06-22,Canada,Google Ads
659,2025-06-09,UK,Organic
660,2025-06-22,UK,Google Ads
661,2025-11-13,USA,Organic
662,2025-10-30,USA,Referral
663,2025-05-29,Canada,Facebook
664,2025-03-21,India,Google Ads
665,2025-08-01,Germany,Google Ads
666,2025-07-22,Germany,Organic
667,2025-09-09,India,Referral
668,2025-08-17,India,Facebook
669,2025-06-13,UK,Google Ads
670,2025-08-15,Germany,Organic
671,2025-05-27,Canada,Organic
672,2025-01-20,USA,Facebook
673,2025-02-16,UK,Organic
674,2025-08-21,Germany,Facebook
675,2025-11-01,India,Organic
676,2025-01-14,Germany,Facebook
677,2025-05-23,Canada,Google Ads
678,2025-01-01,UK,Referral
679,2025-02-23,India,Facebook
680,2025-09-16,Canada,Google Ads
681,2025-05-24,USA,Referral
682,2025-01-12,UK,Organic
683,2025-11-26,Canada,Google Ads
684,2025-08-12,Canada,Organic
685,2025-09-29,India,Referral
686,2025-12-24,USA,Organic
687,2025-06-05,Canada,Google Ads
688,2025-01-08,UK,Organic
689,2025-05-02,Canada,Organic
690,2025-12-14,Germany,Organic
691,2025-06-13,UK,Google Ads
692,2025-03-31,UK,Organic
693,2025-05-16,Canada,Google Ads
694,2025-07-05,India,Organic
695,2025-11-12,UK,Referral
696,2025-06-27,Germany,Google Ads
697,2025-01-28,India,Facebook
698,2025-08-08,India,Organic
699,2025-12-23,India,Organic
700,2025-02-10,UK,Facebook
701,2025-08-16,India,Organic
702,2025-07-11,Canada,Referral
703,2025-05-25,India,Organic
704,2025-07-20,Germany,Organic
705,2025-07-31,USA,Facebook
706,2025-08-08,Germany,Referral
707,2025-08-28,UK,Google Ads
708,2025-02-15,India,Google Ads
709,2025-02-04,India,Facebook
710,2025-09-10,Canada,Organic
711,2025-03-23,India,Referral
712,2025-09-13,Germany,Google Ads
713,2025-07-16,UK,Organic
714,2025-10-30,USA,Organic
715,2025-01-10,India,Organic
716,2025-11-08,USA,Organic
717,2025-10-13,India,Google Ads
718,2025-08-30,UK,Google Ads
719,2025-09-08,Germany,Referral
720,2025-12-31,UK,Facebook
721,2025-01-05,USA,Google Ads
722,2025-04-29,India,Organic
723,2025-10-16,USA,Referral
724,2025-03-06,Germany,Organic
725,2025-05-26,UK,Facebook
726,2025-08-12,USA,Facebook
727,2025-08-27,USA,Organic
728,2025-06-26,Germany,Google Ads
729,2025-09-24,India,Google Ads
730,2025-12-07,USA,Facebook
731,2025-10-09,Germany,Organic
732,2025-03-04,India,Facebook
733,2025-08-05,India,Google Ads
734,2025-12-08,UK,Google Ads
735,2025-11-11,Germany,Google Ads
736,2025-10-10,India,Google Ads
737,2025-06-26,UK,Facebook
738,2025-04-08,Canada,Organic
739,2025-04-15,Germany,Facebook
740,2025-04-09,Canada,Facebook
741,2025-11-07,India,Google Ads
742,2025-01-06,Germany,Facebook
743,2025-07-16,UK,Google Ads
744,2025-12-17,India,Google Ads
745,2025-05-13,Germany,Google Ads
746,2025-12-24,Germany,Referral
747,2025-09-16,Canada,Facebook
748,2025-01-23,India,Referral
749,2025-02-22,UK,Facebook
750,2025-06-14,UK,Facebook
751,2025-07-21,India,Organic
752,2025-03-24,India,Google Ads
753,2025-05-25,USA,Google Ads
754,2025-03-26,Canada,Referral
755,2025-03-19,India,Facebook
756,2025-01-01,India,Google Ads
757,2025-02-20,USA,Google Ads
758,2025-06-22,USA,Referral
759,2025-07-24,Germany,Referral
760,2025-09-17,UK,Facebook
761,2025-10-15,Canada,Google Ads
762,2025-02-03,Germany,Organic
763,2025-12-14,India,Facebook
764,2025-04-05,USA,Facebook
765,2025-03-13,UK,Organic
766,2025-02-08,Germany,Facebook
767,2025-06-03,UK,Organic
768,2025-09-07,USA,Referral
769,2025-06-11,Germany,Organic
770,2025-04-28,Germany,Facebook
771,2025-09-16,UK,Google Ads
772,2025-11-02,USA,Google Ads
773,2025-09-25,India,Facebook
774,2025-02-23,Germany,Facebook
775,2025-08-24,India,Facebook
776,2025-08-10,USA,Google Ads
777,2025-09-08,Germany,Google Ads
778,2025-11-09,Germany,Facebook
779,2025-04-22,India,Organic
780,2025-09-12,Canada,Organic
781,2025-10-30,India,Facebook
782,2025-07-26,India,Organic
783,2025-08-17,Canada,Organic
784,2025-12-07,USA,Facebook
785,2025-03-07,USA,Google Ads
786,2025-03-16,Germany,Facebook
787,2025-04-13,UK,Facebook
788,2025-07-11,UK,Google Ads
789,2025-09-09,Germany,Referral
790,2025-08-14,UK,Facebook
791,2025-10-21,India,Organic
792,2025-11-02,India,Facebook
793,2025-04-08,Canada,Google Ads
794,2025-12-04,Canada,Google Ads
795,2025-10-13,Germany,Organic
796,2025-12-01,Germany,Google Ads
797,2025-12-13,Germany,Google Ads
798,2025-11-04,India,Referral
799,2025-09-06,UK,Facebook
800,2025-06-15,Germany,Google Ads
801,2025-12-01,Germany,Facebook
802,2025-01-30,India,Organic
803,2025-09-04,India,Facebook
804,2025-04-16,India,Google Ads
805,2025-02-20,UK,Facebook
806,2025-03-22,Germany,Google Ads
807,2025-05-13,USA,Organic
808,2025-10-12,USA,Organic
809,2025-05-18,Germany,Google Ads
810,2025-07-03,Germany,Google Ads
811,2025-11-26,Germany,Facebook
812,2025-09-30,Germany,Organic
813,2025-12-06,UK,Google Ads
814,2025-03-10,USA,Google Ads
815,2025-02-03,Canada,Referral
816,2025-09-19,USA,Google Ads
817,2025-02-22,USA,Referral
818,2025-07-24,India,Google Ads
819,2025-05-06,Germany,Google Ads
820,2025-08-23,Germany,Facebook
821,2025-02-12,Germany,Google Ads
